iter	Passed	Remaining
402	12654	3045
403	12683	3013
404	12712	2982
405	12742	2950
406	12772	2918
407	12801	2886
408	12831	2854
409	12861	2823
410	12890	2791
411	12920	2759
412	12948	2727
413	12978	2696
414	13009	2664
415	13039	2632
416	13069	2601
417	13103	2570
418	13133	2538
419	13164	2507
420	13195	2476
421	13226	2444
422	13260	2413
423	13289	2382
424	13318	2350
425	13350	2319
426	13377	2287
427	13407	2255
428	13436	2223
429	13466	2192
430	13495	2160
431	13525	2128
432	13555	2097
433	13585	2065
434	13613	2034
435	13641	2002
436	13671	1970
437	13699	1939
438	13727	1907
439	13756	1875
440	13785	1844
441	13814	1812
442	13844	1781
443	13873	1749
444	13902	1718
445	13931	1686
446	13959	1655
447	13989	1623
448	14018	1592
449	14048	1560
450	14077	1529
451	14106	1498
452	14136	1466
453	14165	1435
454	14194	1403
455	14223	1372
456	14253	1341
457	14284	1309
458	14314	1278
459	14343	1247
460	14370	1215
461	14401	1184
462	14432	1153
463	14461	1122
464	14491	1090
465	14522	1059
466	14552	1028
467	14581	997
468	14619	966
469	14650	935
470	14678	903
471	14708	872
472	14748	841
473	14777	810
474	14807	779
475	14835	748
476	14864	716
477	14893	685
478	14923	654
479	14951	622
480	14979	591
481	15009	560
482	15039	529
483	15068	498
484	15097	466
485	15128	435
486	15158	404
487	15187	373
488	15221	342
489	15251	311
490	15280	280
491	15312	248
492	15341	217
493	15370	186
494	15398	155
495	15431	124
496	15462	93
497	15491	62
498	15520	31
499	15550	0
