iter	MultiClass
132	0.3314805222
133	0.3299516253
134	0.3282596912
135	0.3275042553
136	0.3254109729
137	0.3235397373
138	0.3223477775
139	0.3198531813
140	0.3176931039
141	0.3152278858
142	0.3141448564
143	0.3130135139
144	0.3106966335
145	0.310019525
146	0.3078630342
147	0.3067959073
148	0.3038212972
149	0.3029470405
150	0.3016223008
151	0.300822922
152	0.2987200668
153	0.2972688753
154	0.2956045287
155	0.2940467284
156	0.2918833787
157	0.2909574066
158	0.2891564578
159	0.2872540209
160	0.2852014019
161	0.2834954334
162	0.282616834
163	0.2811090044
164	0.2794113305
165	0.2786472116
166	0.2779472817
167	0.2761377247
168	0.2742715563
169	0.2712060088
170	0.2701651217
171	0.2685486942
172	0.2671049923
173	0.265571087
174	0.2641558488
175	0.2633550568
176	0.2622671468
177	0.2608956575
178	0.2592525891
179	0.2581477742
180	0.2559533852
181	0.2536228027
182	0.2516711107
183	0.2502066385
184	0.2483480578
185	0.2471787951
186	0.2464305219
187	0.2452400892
188	0.2434270896
189	0.2424287822
190	0.2409143625
191	0.2394170731
192	0.2380052128
193	0.2363457853
194	0.2359034351
195	0.2341045007
196	0.2331337598
197	0.2324383282
198	0.2311912855
199	0.2302414798
200	0.2298160502
201	0.2284643624
202	0.2270113115
203	0.2261041786
204	0.2246856599
205	0.2232601374
206	0.2221811487
207	0.2208057481
208	0.2200039351
209	0.2190148642
210	0.2177015813
211	0.2170975146
212	0.2163562496
213	0.2155077978
214	0.214080152
215	0.2131944991
216	0.2119314627
217	0.2112153804
218	0.2105022985
219	0.2096615314
220	0.2090048365
221	0.2085769032
222	0.2076876159
223	0.2070454151
224	0.2061700812
225	0.2048159762
226	0.2041784871
227	0.2028793934
228	0.2023736093
229	0.2011547533
230	0.2003913033
231	0.1994827766
232	0.1991297668
233	0.1981561877
234	0.1975891543
235	0.1961284311
236	0.1952324169
237	0.1942735848
238	0.1934286261
239	0.1920345528
240	0.1909261425
241	0.1898915742
242	0.1890674897
243	0.1881831329
244	0.1875049659
245	0.1871214008
246	0.1864540096
247	0.1859378869
248	0.1850435256
249	0.1844982392
250	0.1837794565
251	0.1833236913
252	0.1826064357
253	0.1817099119
254	0.1807590267
255	0.1803027721
256	0.1796658122
257	0.1789513925
258	0.1782717685
259	0.177587392
260	0.1770180949
261	0.176641994
262	0.1762939785
263	0.1751644594
264	0.1748062653
265	0.1740650577
266	0.1732539906
267	0.1725273747
268	0.1720848818
269	0.1714990056
270	0.1710316697
271	0.1705464236
272	0.1698643376
273	0.1691247216
274	0.1681438751
275	0.1673549075
276	0.166869721
277	0.1660685918
278	0.1654210473
279	0.1645640651
280	0.1636012114
281	0.162958095
282	0.1625465891
283	0.1617118976
284	0.1612210379
285	0.1607636444
286	0.1597178265
287	0.1589463279
288	0.1583994291
289	0.1573764723
290	0.1568416099
291	0.1563048335
292	0.1559659284
293	0.1556447022
294	0.1553735413
295	0.1547708475
296	0.1542785851
297	0.1536367422
298	0.1533962789
299	0.1527055624
300	0.152144755
301	0.1513896724
302	0.1510244905
303	0.150490606
304	0.1500054809
305	0.1495851711
306	0.148973755
307	0.1483816816
308	0.1475419433
309	0.1468993485
310	0.1464854247
311	0.1458762728
312	0.1451356145
313	0.1444868175
314	0.1441018779
315	0.1435090329
316	0.1429643692
317	0.1422090273
318	0.1419233468
319	0.1413370161
320	0.1409731142
321	0.1406744647
322	0.1402957231
323	0.1400628178
324	0.1397325098
325	0.1391022633
326	0.1385719412
327	0.1381863408
328	0.1379340649
329	0.1373923213
330	0.1367459732
331	0.1361153197
332	0.1356229774
333	0.1351278667
334	0.1343706136
335	0.1337770467
336	0.1332772881
337	0.1326120031
338	0.1321926375
339	0.1315267809
340	0.1311866314
341	0.130654676
342	0.1303147257
343	0.1300433663
344	0.1295643775
345	0.1293052454
346	0.1287981612
347	0.1282348785
348	0.1277679521
349	0.1271875301
350	0.1266402052
351	0.1261626724
352	0.1259643744
353	0.1254538244
354	0.1251589224
355	0.1248018121
356	0.1242297001
357	0.1233841415
358	0.123062472
359	0.1225882691
360	0.1223501836
361	0.1215843099
362	0.12111935
363	0.1207468877
364	0.1205297069
365	0.1200661537
366	0.1196181173
367	0.119019736
368	0.1186968008
369	0.1180410135
370	0.1175123171
371	0.1171864695
372	0.1167825532
373	0.116353115
374	0.1158623144
375	0.1154576563
376	0.1150922835
377	0.1145936966
378	0.1143647797
379	0.1141652819
380	0.1138319638
381	0.1136444825
382	0.1132720799
383	0.1129005037
384	0.1125980578
385	0.1119700918
386	0.1115841938
387	0.1112044277
388	0.1110594811
389	0.1107301555
390	0.1104670387
391	0.1100133549
392	0.1095166159
393	0.1090399824
394	0.108500314
395	0.1080914155
396	0.1078739812
397	0.1076847139
398	0.1073321319
399	0.1070802996
400	0.1068241485
401	0.1066823841
402	0.1061780878
403	0.1057681026
404	0.1056154019
405	0.1050991042
406	0.1047495226
407	0.1040053363
408	0.1037716865
409	0.1034713709
410	0.1032168912
411	0.1028552632
412	0.1023605926
413	0.1020845508
414	0.1017828046
415	0.1013926019
416	0.101131129
417	0.100814908
418	0.1004897842
419	0.1002044484
420	0.09997211027
421	0.09970547941
422	0.09942567945
423	0.09920305804
424	0.09901643875
425	0.09872955337
426	0.09861718589
427	0.09832698191
428	0.0980054715
429	0.09766765139
430	0.09750046364
431	0.09727456135
432	0.09712997132
433	0.09684021287
434	0.09666706601
435	0.09627954502
436	0.0959979286
437	0.09580432161
438	0.09554431674
439	0.09525892107
440	0.09492533778
441	0.09456018294
442	0.09397260463
443	0.09381024733
444	0.09344857596
445	0.09332059437
446	0.09290246571
447	0.09262015119
448	0.09216866373
449	0.09195092238
450	0.09173136581
451	0.0914431702
452	0.09121074925
453	0.09103279523
454	0.09071971192
455	0.09031398896
456	0.0900249156
457	0.08980148988
458	0.08960813341
459	0.0893112651
460	0.08916582833
461	0.08892879962
462	0.08872553513
463	0.0885359025
464	0.08839556217
465	0.08823139809
466	0.08798830942
467	0.0877456101
468	0.08766021457
469	0.08740922656
470	0.08721405518
471	0.08703397933
472	0.08682167689
473	0.08646272586
474	0.08624777746
475	0.08604383856
476	0.08581703523
477	0.08556600978
478	0.08530743323
479	0.08513421186
480	0.08489162468
481	0.08448551475
482	0.08410591172
483	0.08391931151
484	0.08375924548
485	0.08355922536
486	0.08329473373
487	0.0829988261
488	0.08279052427
489	0.08268889444
490	0.08230021434
491	0.08202770203
492	0.08188584166
493	0.08169291234
494	0.08162727203
495	0.08143047036
496	0.08109836587
497	0.08091630931
498	0.08066006323
499	0.08051527781
